,precision,recall,f1-score,support
economy,0.7083333333333334,0.14655172413793102,0.24285714285714285,116.0
health-care,0.7272727272727273,0.5663716814159292,0.6368159203980099,113.0
education,0.7796610169491526,0.5679012345679012,0.6571428571428571,81.0
candidates-biography,0.5,0.15384615384615385,0.23529411764705882,65.0
federal-budget,0.4090909090909091,0.16981132075471697,0.24,53.0
foreign-policy,0.45454545454545453,0.2222222222222222,0.29850746268656714,45.0
immigration,0.625,0.6097560975609756,0.6172839506172839,41.0
elections,0.4230769230769231,0.275,0.3333333333333333,40.0
crime,0.3181818181818182,0.21875,0.25925925925925924,32.0
energy,0.5862068965517241,0.5483870967741935,0.5666666666666667,31.0
taxes,0.42857142857142855,0.5,0.46153846153846156,30.0
abortion,0.782608695652174,0.6428571428571429,0.7058823529411765,28.0
campaign-finance,0.4444444444444444,0.3076923076923077,0.36363636363636365,26.0
state-budget,0.6363636363636364,0.2692307692307692,0.3783783783783784,26.0
jobs,0.1875,0.391304347826087,0.2535211267605634,23.0
deficit,0.3333333333333333,0.47368421052631576,0.391304347826087,19.0
guns,0.34615384615384615,0.47368421052631576,0.4,19.0
climate-change,0.5882352941176471,0.5263157894736842,0.5555555555555556,19.0
bipartisanship,0.3333333333333333,0.29411764705882354,0.3125,17.0
children,0.2,0.17647058823529413,0.1875,17.0
ethics,0.29411764705882354,0.3125,0.30303030303030304,16.0
corrections-and-updates,0.0,0.0,0.0,16.0
job-accomplishments,0.25,0.13333333333333333,0.17391304347826086,15.0
debt,0.4,0.4,0.4,15.0
military,0.6,0.21428571428571427,0.3157894736842105,14.0
civil-rights,0.16666666666666666,0.15384615384615385,0.16,13.0
history,0.0625,0.07692307692307693,0.06896551724137931,13.0
transportation,0.30434782608695654,0.5384615384615384,0.3888888888888889,13.0
environment,0.2857142857142857,0.16666666666666666,0.21052631578947367,12.0
city-government,0.0,0.0,0.0,10.0
social-security,0.4,0.8888888888888888,0.5517241379310345,9.0
iraq,0.25,1.0,0.4,9.0
congress,0.0,0.0,0.0,9.0
pundits,0.05263157894736842,0.125,0.07407407407407407,8.0
corporations,0.1,0.125,0.1111111111111111,8.0
labor,0.3,0.75,0.42857142857142855,8.0
families,0.125,0.125,0.125,8.0
homeland-security,0.0,0.0,0.0,8.0
polls,0.1,0.14285714285714285,0.11764705882352941,7.0
financial-regulation,1.0,0.14285714285714285,0.25,7.0
drugs,0.5,0.42857142857142855,0.46153846153846156,7.0
county-budget,0.3333333333333333,0.5714285714285714,0.42105263157894735,7.0
legal-issues,0.0,0.0,0.0,7.0
poverty,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
criminal-justice,0.0,0.0,0.0,7.0
message-machine,0.0,0.0,0.0,7.0
bankruptcy,0.0,0.0,0.0,6.0
government-efficiency,0.0,0.0,0.0,6.0
government-regulation,0.0,0.0,0.0,6.0
city-budget,0.15384615384615385,0.6666666666666666,0.25,6.0
income,0.08333333333333333,0.4,0.13793103448275862,5.0
pop-culture,0.0,0.0,0.0,5.0
diversity,0.21739130434782608,1.0,0.35714285714285715,5.0
religion,0.05263157894736842,0.2,0.08333333333333333,5.0
bush-administration,0.0,0.0,0.0,5.0
retirement,0.5,0.2,0.2857142857142857,5.0
agriculture,0.16666666666666666,0.2,0.18181818181818182,5.0
debates,0.13043478260869565,0.6,0.21428571428571427,5.0
china,0.3,0.6,0.4,5.0
animals,0.0,0.0,0.0,5.0
gays-and-lesbians,0.1875,0.6,0.2857142857142857,5.0
cap-and-trade,0.2857142857142857,0.5,0.36363636363636365,4.0
terrorism,0.14285714285714285,0.25,0.18181818181818182,4.0
sports,0.0,0.0,0.0,4.0
trade,0.16666666666666666,0.5,0.25,4.0
campaign-advertising,0.0,0.0,0.0,4.0
public-health,0.0,0.0,0.0,4.0
population,0.0,0.0,0.0,3.0
states,0.0,0.0,0.0,3.0
county-government,0.0,0.0,0.0,3.0
medicaid,0.0,0.0,0.0,3.0
message-machine-2012,0.08571428571428572,1.0,0.15789473684210525,3.0
consumer-safety,0.16666666666666666,0.3333333333333333,0.2222222222222222,3.0
alcohol,0.0,0.0,0.0,3.0
supreme-court,0.25,0.6666666666666666,0.36363636363636365,3.0
ebola,0.0,0.0,0.0,2.0
obama-birth-certificate,0.3333333333333333,0.5,0.4,2.0
pensions,0.5,0.5,0.5,2.0
patriotism,0.0,0.0,0.0,2.0
public-safety,0.25,0.5,0.3333333333333333,2.0
oil-spill,0.0,0.0,0.0,2.0
voting-record,0.25,0.5,0.3333333333333333,2.0
women,0.5,0.5,0.5,2.0
medicare,0.125,1.0,0.2222222222222222,2.0
marriage,0.0,0.0,0.0,2.0
market-regulation,0.0,0.0,0.0,2.0
tourism,0.0,0.0,0.0,2.0
gambling,0.5,1.0,0.6666666666666666,2.0
census,0.0,0.0,0.0,2.0
afghanistan,0.2,0.5,0.2857142857142857,2.0
veterans,0.3333333333333333,1.0,0.5,2.0
congressional-rules,0.125,0.5,0.2,2.0
state-finances,0.0,0.0,0.0,1.0
disability,0.0,0.0,0.0,1.0
stimulus,0.0,0.0,0.0,1.0
technology,0.0,0.0,0.0,1.0
transparency,0.0,0.0,0.0,1.0
water,0.0,0.0,0.0,1.0
welfare,0.2,1.0,0.3333333333333333,1.0
space,0.0,0.0,0.0,1.0
baseball,0.0,0.0,0.0,1.0
lottery,0.0,0.0,0.0,1.0
natural-disasters,0.0,0.0,0.0,1.0
fake-news,0.0,0.0,0.0,1.0
florida,0.0,0.0,0.0,1.0
housing,0.0,0.0,0.0,1.0
israel,0.0,0.0,0.0,1.0
small-business,0.0,0.0,0.0,1.0
marijuana,0.0,0.0,0.0,1.0
workers,0.0,0.0,0.0,1.0
new-hampshire-2012,0.0,0.0,0.0,1.0
occupy-wall-street,0.0,0.0,0.0,1.0
recreation,0.0,0.0,0.0,1.0
redistricting,0.0,0.0,0.0,1.0
nuclear,0.0,0.0,0.0,0.0
kagan-nomination,0.0,0.0,0.0,0.0
islam,0.0,0.0,0.0,0.0
unions,0.0,0.0,0.0,0.0
infrastructure,0.0,0.0,0.0,0.0
human-rights,0.0,0.0,0.0,0.0
science,0.0,0.0,0.0,0.0
sexuality,0.0,0.0,0.0,0.0
sotomayor-nomination,0.0,0.0,0.0,0.0
