Article ID,Human Label,Agent Label,Match,,
1,International politics,Politics,TRUE,,
2,Public Safety,Politics & Governance,TRUE,,
3,Crime,Crime/Legal,TRUE,,
4,International politics,Politics,TRUE,,
5,Entertainment,Entertainment,TRUE,,
6,Technology,Technology,TRUE,,
7,Politics,Politics,TRUE,,
8,US policy,Politics,TRUE,,
9,Technology,Technology,TRUE,,
10,Electric Car,Environment,TRUE,,
11,Foreign Policy,Sports,FALSE,,
12,Science,Technology,TRUE,,
13,Accident,Public Safety & Disaster,TRUE,,
14,Local policy,Law & Policy,TRUE,,
15,Immigration,Entertainment,FALSE,,
16,Religion,Media Ethics,TRUE,,
17,Politics,Politics,TRUE,,fFf
18,Media,Technology,FALSE,,
19,Environment,Science/Environment,TRUE,,
20,Entertainment,Entertainment,TRUE,,